date,lat_bin,long_bin,mmsi,fishing_hours
2012-01-03 00:00:00,51,-1731,440620000,1.790694444444444
2012-01-03 00:00:00,51,-1732,440620000,1.834444444444444
2012-01-03 00:00:00,51,-1730,440620000,0.9125
2012-01-03 00:00:00,51,-1726,440620000,1.8404166666666661
2012-01-03 00:00:00,-461,671,618000500,1.6080555555555553
2012-01-03 00:00:00,-461,673,618000500,1.5476388888888888
2012-01-03 00:00:00,-461,-607,416046800,1.6111111111111112
2012-01-03 00:00:00,-461,-606,416032500,13.934722222222224
2012-01-03 00:00:00,52,-1736,432365000,0.5194444444444444
2012-01-03 00:00:00,52,-1735,432365000,0.878888888888889
2012-01-03 00:00:00,52,-1740,432365000,1.050138888888889
2012-01-03 00:00:00,-459,-606,416842000,11.556111111111113
2012-01-03 00:00:00,-459,-607,412420382,11.53375
2012-01-03 00:00:00,-458,-607,515303000,9.125
2012-01-03 00:00:00,-458,-606,515303000,3.9890277777777783
2012-01-03 00:00:00,-458,-606,701000860,12.357222222222223
2012-01-03 00:00:00,-457,-607,441298000,12.31013888888889
2012-01-03 00:00:00,-457,-607,441413000,9.117083333333333
2012-01-03 00:00:00,-457,-606,441413000,1.5876388888888888
2012-01-03 00:00:00,-457,-606,441412000,13.161249999999999
2012-01-03 00:00:00,-457,-606,701000908,13.149444444444445
2012-01-03 00:00:00,-457,-605,441303000,9.950555555555557
2012-01-03 00:00:00,-201,-1070,224581000,2.722361111111111
2012-01-03 00:00:00,-201,-1069,224581000,0.5041666666666667
2012-01-03 00:00:00,-456,-606,441413000,1.6163888888888887
2012-01-03 00:00:00,-456,-606,440548000,13.127222222222223
2012-01-03 00:00:00,-200,-1068,224581000,1.2883333333333333
2012-01-03 00:00:00,-200,-1069,224581000,0.8554166666666667
2012-01-03 00:00:00,-200,-1070,224581000,1.4929166666666664
2012-01-03 00:00:00,-199,-1068,224581000,1.7929166666666665
2012-01-03 00:00:00,-199,374,432463000,1.8627777777777779
2012-01-03 00:00:00,-199,375,432463000,5.139861111111111
2012-01-03 00:00:00,-454,-606,441770000,10.737916666666667
2012-01-03 00:00:00,-454,-605,440818000,3.198888888888889
2012-01-03 00:00:00,-198,-1069,224581000,4.825694444444445
2012-01-03 00:00:00,-198,374,432463000,1.4165277777777778
2012-01-03 00:00:00,-453,-606,440818000,9.084305555555556
2012-01-03 00:00:00,-453,-605,440818000,1.6166666666666667
2012-01-03 00:00:00,-453,-605,441495000,12.30513888888889
2012-01-03 00:00:00,-197,-1067,224581000,5.39625
2012-01-03 00:00:00,-197,374,432463000,2.965416666666667
2012-01-03 00:00:00,-197,375,432463000,4.213750000000001
2012-01-03 00:00:00,-196,374,432463000,0.836111111111111
2012-01-03 00:00:00,-196,375,432463000,1.6308333333333334
2012-01-03 00:00:00,577,103,219001673,1.4075000000000002
2012-01-03 00:00:00,577,104,219001673,1.6701388888888888
2012-01-03 00:00:00,577,105,219001673,1.6070833333333332
2012-01-03 00:00:00,577,104,219343000,0.5930555555555556
2012-01-03 00:00:00,577,103,219343000,2.5570833333333334
2012-01-03 00:00:00,577,101,219343000,2.357222222222222
2012-01-03 00:00:00,577,102,219343000,1.9884722222222222
2012-01-03 00:00:00,577,102,219013538,1.5880555555555556
2012-01-03 00:00:00,577,100,219013538,2.919722222222222
2012-01-03 00:00:00,577,105,219013538,2.256666666666667
2012-01-03 00:00:00,577,101,219013538,0.94625
2012-01-03 00:00:00,577,104,219013538,2.551944444444444
2012-01-03 00:00:00,577,103,219013538,3.5934722222222226
2012-01-03 00:00:00,577,102,219801000,3.883888888888889
2012-01-03 00:00:00,577,103,219801000,3.001944444444444
2012-01-03 00:00:00,577,100,219801000,2.550416666666666
2012-01-03 00:00:00,577,101,219801000,3.989027777777778
2012-01-03 00:00:00,577,105,219004128,1.0876388888888888
2012-01-03 00:00:00,577,107,219004128,0.47444444444444445
2012-01-03 00:00:00,577,106,219004128,1.1304166666666666
2012-01-03 00:00:00,67,-1690,520227000,3.6705555555555565
2012-01-03 00:00:00,67,-1693,520227000,1.6862499999999996
2012-01-03 00:00:00,67,-1696,520227000,1.8619444444444444
2012-01-03 00:00:00,67,-1699,520227000,1.8487499999999997
2012-01-03 00:00:00,67,-1694,520227000,0.7483333333333333
2012-01-03 00:00:00,67,-1692,520227000,1.8268055555555551
2012-01-03 00:00:00,67,-1698,520227000,1.8291666666666666
2012-01-03 00:00:00,67,-1695,520227000,1.1893055555555556
